path,sha256,malware_probability,prediction,file_size,section_entropy_max
D:\bodmas_malware_dataset_batches_ida\batch_1\5b2f1730ba2baf461d920b524b6188fa4b7c2f6550406541beca266e4dfee632.exe,5b2f1730ba2baf461d920b524b6188fa4b7c2f6550406541beca266e4dfee632,0.9999055695926984,1,137184,7.7787233743391955
D:\bodmas_malware_dataset_batches_ida\batch_2\7de37785e7a703f87f3f2cf0bd395a88b749b0f9627636e505c475749b8ec7f8.exe,7de37785e7a703f87f3f2cf0bd395a88b749b0f9627636e505c475749b8ec7f8,0.9999055695926984,1,137184,7.7787233743391955
D:\bodmas_malware_dataset_batches_ida\batch_3\2ca730232ea826fffc66fafdc07bb862c17e1295f753b745737834112c9bc685.exe,2ca730232ea826fffc66fafdc07bb862c17e1295f753b745737834112c9bc685,0.9999055695926984,1,137180,7.7787233743391955
D:\bodmas_malware_dataset_batches_ida\batch_4\6483ceb9ada30eee24539eb026335c64ae3d3766d376a8e490f036b99ee68b3e.exe,6483ceb9ada30eee24539eb026335c64ae3d3766d376a8e490f036b99ee68b3e,0.9999055695926984,1,137180,7.7787233743391955
D:\bodmas_malware_dataset_batches_ida\batch_5\690b89b014bc03a1d984f4819f0067d67a693bd9ebca1f75b8de79dccec3c5eb.exe,690b89b014bc03a1d984f4819f0067d67a693bd9ebca1f75b8de79dccec3c5eb,0.9998836949311994,1,136359,7.562237561670126
D:\bodmas_malware_dataset_batches_ida\batch_1\5fe1ce5060040f06769b4154ae6d117c4f9de913834c88c192720e4577343776.exe,5fe1ce5060040f06769b4154ae6d117c4f9de913834c88c192720e4577343776,0.9998699270501527,1,483210,7.6431626111010855
D:\bodmas_malware_dataset_batches_ida\batch_1\4a0756512232c9f831dd507a09da4763bae8112c8f69b56eab634604a64d3845.exe,4a0756512232c9f831dd507a09da4763bae8112c8f69b56eab634604a64d3845,0.9998699270501527,1,428837,7.6431626111010855
D:\bodmas_malware_dataset_batches_ida\batch_4\2de1c4b07308463c9762e022c5e0a877068a85232cb4226bdc5e004a9544ec88.exe,2de1c4b07308463c9762e022c5e0a877068a85232cb4226bdc5e004a9544ec88,0.9998699270501527,1,568216,7.643218334020087
D:\bodmas_malware_dataset_batches_ida\batch_1\bad35f5f4da20c010f21b25d851e3414a24430168683ef68bd29cba1b4faa756.exe,bad35f5f4da20c010f21b25d851e3414a24430168683ef68bd29cba1b4faa756,0.9998626955154022,1,221320,7.818175103304164
D:\bodmas_malware_dataset_batches_ida\batch_1\b95368ee994c530a05d2f1c9a99b016a30e028b8137f16f17e178ba1da2670f4.exe,b95368ee994c530a05d2f1c9a99b016a30e028b8137f16f17e178ba1da2670f4,0.9998568011455263,1,179688,7.997071297242319
D:\bodmas_malware_dataset_batches_ida\batch_2\5e46dba189dc8086bb478a4ffae5ccdf95f83b8daf1ce4f16e439641e155dc3b.exe,5e46dba189dc8086bb478a4ffae5ccdf95f83b8daf1ce4f16e439641e155dc3b,0.9998568011455263,1,179680,7.997071297242319
D:\bodmas_malware_dataset_batches_ida\batch_4\9bf4c9fdc36a27c2436c05125794716a7a61167475de3414b8ba22dc7404788d.exe,9bf4c9fdc36a27c2436c05125794716a7a61167475de3414b8ba22dc7404788d,0.9998568011455263,1,179656,7.997071297242319
D:\bodmas_malware_dataset_batches_ida\batch_3\b5654ba454e14fae1167dbf6a0a5f22a623ba6d367642376cc8301b3a00da694.exe,b5654ba454e14fae1167dbf6a0a5f22a623ba6d367642376cc8301b3a00da694,0.9998490479018973,1,212992,7.9582515703420125
D:\bodmas_malware_dataset_batches_ida\batch_1\efe7fb81166bc7486c3159acf8b3539bbd4ce5813c95066cc4f2dfbf4f7cecd0.exe,efe7fb81166bc7486c3159acf8b3539bbd4ce5813c95066cc4f2dfbf4f7cecd0,0.9998489757272239,1,182793,7.8081909435213674
D:\bodmas_malware_dataset_batches_ida\batch_2\f3bf4e229140f56463e7f716f5897c9d052843368eaaa2f3e10b98048e9e4dc6.exe,f3bf4e229140f56463e7f716f5897c9d052843368eaaa2f3e10b98048e9e4dc6,0.9998489757272239,1,182793,7.8081909435213674
D:\bodmas_malware_dataset_batches_ida\batch_2\446613358e26ff9de9cddf22f369648a1a779986d7798d8b87e614ad17d08c61.exe,446613358e26ff9de9cddf22f369648a1a779986d7798d8b87e614ad17d08c61,0.9998454395692427,1,1099329,7.6431626111010855
D:\bodmas_malware_dataset_batches_ida\batch_5\510bf18da9487cd61ca2d764d8db30f0abdcf1bc6975b90e29727c078f6551ad.exe,510bf18da9487cd61ca2d764d8db30f0abdcf1bc6975b90e29727c078f6551ad,0.9998454395692427,1,1111377,7.6431626111010855
D:\bodmas_malware_dataset_batches_ida\batch_2\0f6e6d6c07b4b336298d9e747a38b9018ec3b35fa34ad85f448254b8d5b47601.exe,0f6e6d6c07b4b336298d9e747a38b9018ec3b35fa34ad85f448254b8d5b47601,0.9998439950721043,1,512563,7.689468370404357
