path,malware_probability,prediction,file_size,section_entropy_max,timestamp_raw
C:\altera\90\quartus\drivers\sentinel\win_xp64\sentinst71xp64.exe,0.9996323245403608,1,1575147,7.2383253283634215,1082411369
C:\altera\90\quartus\bin\jre\bin\javacpl.exe,0.9993518189864965,1,37376,6.015991542497262,1190701787
C:\altera\90\quartus\bin64\jre\bin\javacpl.exe,0.9993518189864965,1,37376,6.015991542497262,1190701787
C:\altera\90\quartus\bin\perl\bin\perl.exe,0.9993059650148471,1,32256,4.62551210582755,1225579821
C:\altera\90\quartus\bin64\perl\bin\perl.exe,0.9993059650148471,1,32256,4.62551210582755,1225579821
C:\altera\90\ip\altera\common\ip_toolbench\v1.3.0\bin\ip_toolbench_console.exe,0.9969013693672216,1,36864,5.928654162586267,1173745925
C:\altera\90\quartus\common\ip\altera\common\ip_toolbench\v1.3.0\bin\ip_toolbench_console.exe,0.9969013693672216,1,36864,5.928654162586267,1173745925
C:\Documents and Settings\yukiho\.gradle\native\1def1411415f61bf3af743bc5b6707747c0891f09f0c88961ee8f79bc544acac\windows-amd64\native-platform.dll,0.9962406859869811,1,141312,6.37327978211389,1738233423
C:\Documents and Settings\yukiho\.gradle\native\660c5614fbf4a5f2a75b1949f50a0caf5cd603558e7d8a26e50b933a0cfb79d1\windows-amd64\native-platform.dll,0.9962406859869811,1,141312,6.37327978211389,1756992673
C:\Documents and Settings\yukiho\.gradle\native\c067742578af261105cb4f569cf0c3c89f3d7b1fecec35dd04571415982c5e48\windows-amd64\native-platform.dll,0.9962406859869811,1,141312,6.37327978211389,1709030024
C:\altera\90\quartus\bin\jre\bin\javacpl.cpl,0.9962123618927969,1,69632,6.508888901308548,1190701783
C:\altera\90\quartus\bin64\jre\bin\javacpl.cpl,0.9962123618927969,1,69632,6.508888901308548,1190701783
C:\altera\90\quartus\bin\jre\bin\javaws.exe,0.9961729296490677,1,139264,6.55252353176554,1190701421
C:\altera\90\quartus\bin64\jre\bin\javaws.exe,0.9961729296490677,1,139264,6.55252353176554,1190701421
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\site-packages\pip\_vendor\distlib\w32.exe,0.9960692950944701,1,91648,6.509356824220671,1659768075
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\poppler\Library\bin\icutest.dll,0.9959513572436675,1,262144,6.35859689424874,1773822422
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\poppler\Library\bin\icutest78.dll,0.9959513572436675,1,262144,6.35859689424874,1773822422
C:\altera\90\quartus\bin\cygwin\bin\cyglsa64.dll,0.9957962839604616,1,7168,5.179834334346179,1164629823
C:\altera\90\quartus\bin64\rwuxthemes.dll,0.9957962839604616,1,10240,5.143564532214411,1227842351
C:\altera\90\quartus\bin\jre\bin\java-rmi.exe,0.995674051126832,1,25088,6.1523137316175385,1190699644
C:\altera\90\quartus\bin\jre\bin\keytool.exe,0.995674051126832,1,25600,6.161288375151559,1190698952
C:\altera\90\quartus\bin\jre\bin\kinit.exe,0.995674051126832,1,25600,6.159821305526612,1190698995
C:\altera\90\quartus\bin\jre\bin\klist.exe,0.995674051126832,1,25600,6.159821305526612,1190698998
C:\altera\90\quartus\bin\jre\bin\ktab.exe,0.995674051126832,1,25600,6.159821305526612,1190699001
C:\altera\90\quartus\bin\jre\bin\orbd.exe,0.995674051126832,1,25600,6.1654215717319945,1190700093
C:\altera\90\quartus\bin\jre\bin\pack200.exe,0.995674051126832,1,25600,6.163472843501458,1190700133
C:\altera\90\quartus\bin\jre\bin\policytool.exe,0.995674051126832,1,25600,6.162135200460622,1190698992
C:\altera\90\quartus\bin\jre\bin\rmid.exe,0.995674051126832,1,25600,6.1605934988312825,1190699637
C:\altera\90\quartus\bin\jre\bin\rmiregistry.exe,0.995674051126832,1,25600,6.162135200460622,1190699627
C:\altera\90\quartus\bin\jre\bin\servertool.exe,0.995674051126832,1,25600,6.152994149968956,1190700096
C:\altera\90\quartus\bin\jre\bin\tnameserv.exe,0.995674051126832,1,26112,6.164629810645145,1190700081
C:\altera\90\quartus\bin64\jre\bin\java-rmi.exe,0.995674051126832,1,25088,6.1523137316175385,1190699644
C:\altera\90\quartus\bin64\jre\bin\keytool.exe,0.995674051126832,1,25600,6.161288375151559,1190698952
C:\altera\90\quartus\bin64\jre\bin\kinit.exe,0.995674051126832,1,25600,6.159821305526612,1190698995
C:\altera\90\quartus\bin64\jre\bin\klist.exe,0.995674051126832,1,25600,6.159821305526612,1190698998
C:\altera\90\quartus\bin64\jre\bin\ktab.exe,0.995674051126832,1,25600,6.159821305526612,1190699001
C:\altera\90\quartus\bin64\jre\bin\orbd.exe,0.995674051126832,1,25600,6.1654215717319945,1190700093
C:\altera\90\quartus\bin64\jre\bin\pack200.exe,0.995674051126832,1,25600,6.163472843501458,1190700133
C:\altera\90\quartus\bin64\jre\bin\policytool.exe,0.995674051126832,1,25600,6.162135200460622,1190698992
C:\altera\90\quartus\bin64\jre\bin\rmid.exe,0.995674051126832,1,25600,6.1605934988312825,1190699637
C:\altera\90\quartus\bin64\jre\bin\rmiregistry.exe,0.995674051126832,1,25600,6.162135200460622,1190699627
C:\altera\90\quartus\bin64\jre\bin\servertool.exe,0.995674051126832,1,25600,6.152994149968956,1190700096
C:\altera\90\quartus\bin64\jre\bin\tnameserv.exe,0.995674051126832,1,26112,6.164629810645145,1190700081
C:\altera\90\ip\altera\common\ip_toolbench\v1.3.0\bin\ip_toolbench.exe,0.9955143083647413,1,36864,5.687351483737997,1173745923
C:\altera\90\quartus\common\ip\altera\common\ip_toolbench\v1.3.0\bin\ip_toolbench.exe,0.9955143083647413,1,36864,5.687351483737997,1173745923
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\tcl\dde1.4\tcldde14.dll,0.9951432461936399,1,25088,6.011641195538555,1636405314
C:\altera\90\quartus\bin\jre\bin\unpack200.exe,0.9950117660589717,1,122880,5.747152496266585,1190700128
C:\altera\90\quartus\bin64\jre\bin\unpack200.exe,0.9950117660589717,1,122880,5.747152496266585,1190700128
C:\altera\90\ip\sls\usb20hr_ocp_eval_pack\software\example\windows\rwusb_c_sharp\rwusb\bin\debug\rwusb.exe,0.9948546324567439,1,24576,4.778183528589499,1213962646
C:\altera\90\ip\sls\usb20hr_ocp_eval_pack\software\example\windows\rwusb_c_sharp\rwusb\bin\release\rwusb.exe,0.9948546324567439,1,24576,4.646933138460822,1213962639
C:\altera\90\ip\sls\usb20hr_ocp_eval_pack\software\example\windows\rwusb_c_sharp\rwusb\obj\Debug\rwusb.exe,0.9948546324567439,1,24576,4.778183528589499,1213962646
