sha256,path,label,source
000077419ead44800537b34f5c2137e572c472698a13c39151f90eaabde7c94e,malware/000077419ead44800537b34f5c2137e572c472698a13c39151f90eaabde7c94e.exe,1,dike_batch5
0004b6ce277aa1a259359ee0400bf7cb3f2aafdeeae291f0be2a3750b0c87ee2,malware/0004b6ce277aa1a259359ee0400bf7cb3f2aafdeeae291f0be2a3750b0c87ee2.exe,1,dike_batch5
0008d6d1dcbe359dab5780be87005be659ea93eae5878a5b6e6ba4ed2d889b09,malware/0008d6d1dcbe359dab5780be87005be659ea93eae5878a5b6e6ba4ed2d889b09.exe,1,dike_batch5
000bd8b072994238a0716e6011d85bbbb5d745d921809a31030fd9e39dcdea51,malware/000bd8b072994238a0716e6011d85bbbb5d745d921809a31030fd9e39dcdea51.exe,1,virusshare
000d1bab5fa789f2d3b120bccb5452c7c3fe52073bd88d7d651b27dc68eb5423,malware/000d1bab5fa789f2d3b120bccb5452c7c3fe52073bd88d7d651b27dc68eb5423.dll,1,dike_batch5
000d6230792fefff601c0e5e87369196fdd5cfb484fdd87916a080d8b9ffc1c6,malware/000d6230792fefff601c0e5e87369196fdd5cfb484fdd87916a080d8b9ffc1c6.exe,1,dike_batch7
000e731440308f57fde3cf58626ec77edd4f3f89a9d9e964ea170d18fdef9069,malware/000e731440308f57fde3cf58626ec77edd4f3f89a9d9e964ea170d18fdef9069.exe,1,dike_batch7
0011ff95aeb4e78b6e5c0187bb2ee422d2a70bc33beb5716bdcaf2b844b52324,malware/0011ff95aeb4e78b6e5c0187bb2ee422d2a70bc33beb5716bdcaf2b844b52324.dll,1,virusshare
00145e98e0394c0ad3f0e1fc801676f426ed657d0640764c96b380e00f81a3cf,malware/00145e98e0394c0ad3f0e1fc801676f426ed657d0640764c96b380e00f81a3cf.exe,1,dike_batch8
00189f62e6863904cadfccaf81dc271f1a099a377567531ea43ddb0cc2fd205e,malware/00189f62e6863904cadfccaf81dc271f1a099a377567531ea43ddb0cc2fd205e.exe,1,dike_batch8
